instance,parent,issue_type,dead_names,missing_slots,visual_tier,sibling_group,lookdev_note
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_EscherGeometry_Enhanced,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_FloatingNotes,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_FloralMagic,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_FlyingButtress,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_FractalOrnament,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_GildedAltar,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_GothicArchitecture,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_GothicArchitecture_Enhanced,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_GothicRoseWindow,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Gothic_RoseGold,/Game/_PROJECT/04_Materials/SDF/M_SDF_RayMarch_Gothic.M_SDF_RayMarch_Gothic,DEAD-OVERRIDE,RefractionDepthBias,,HERO,,Dead overrides may cause unpredictable shading: RefractionDepthBias
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_GrandStaff_CrossSection,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Grass_Field,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_InfinityMirror,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_JuliaSet_Quaternion,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Klein_Bottle,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_MagicOrb,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_MandelbulbSlice,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Mandelbulb_Master,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_MengerSponge,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_MetalShards,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Mobius_Strip,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Musical,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_OrnamentLayer,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_OrnamentLayer_Enhanced,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_Penrose_Staircase,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_RayMarch_Gothic,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_SheetMusic_Score,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_SierpinskiTetrahedron,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_StarburstGem,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_TrebleClef_Ornament,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_TrueParallax,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/MI_SDF_VinylRecord,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/Underwater/MI_SDF_AbyssalVent,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/Underwater/MI_SDF_Anemone,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/Underwater/MI_SDF_Bioluminescence,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
/Game/Melodia/_PROJECT/04_Materials/SDF/Underwater/MI_SDF_BubbleColumn,/Game/EnvSandbox/Materials/Masters/M_Master_Toon_Universal.M_Master_Toon_Universal,MARBLE-DEFAULT,,Albedo,HERO,,Missing albedo texture - will show master default (likely grey/marble)
